gene	zcount_h-brain-1_S11	zcount_h-brain-2_S12	zcount_h-brain-3_S13	zcount_h-testis-1_S16	zcount_h-testis-2_S17	zcount_n-testis-1_S33	zcount_n-testis-2_S34	zcount_n-testis-3_S35	zcount_wt-brain_S44
sap18_1	513.664775665285	375.96593193336	252.029659585847	424.34321126062	541.12723986815	873.221016258231	36.0316470903307	48.1917996778351	644.810076591085
sap30bp	0	0	0	0	0	0	0	0	0
sap30l	0	0	0	0	0	0	0	0	0
sapcd2	41.1686204438065	38.813700224136	29.5776019848978	47.747716830859	48.3886986967949	30.723980257024	46.2857451437975	51.6955635790471	54.0268517031266
sapcd2_1	7.00419615485102	4.88527441897978	9.12080061207997	24.2944211111443	26.9008228883511	14.6948443704696	21.5130263716926	26.0857360522579	13.8474214678114
sar1aa	0	0	0	0	0	0	0	0	0
sar1ab	0	0	0	0	0	0	0	0	0
sar1b	0	0	0	0	0	0	0	0	0
saraf	0	0	0	0	0	0	0	0	0
sardh	0	0	0	0	0	0	0	0	0
sardh_1	3.80277621913276	1.66060403755918	2.75586262318783	5.28300269291237	6.3500946459554	15.0436504897267	12.9691309150342	6.56820126893506	12.5847407552834
sarm1	0	0	0	0	0	0	0	0	0
sarnp	0	0	0	0	0	0	0	0	0
sars	0	0	0	0	0	0	0	0	0
sars2	0	0	0	0	0	0	0	0	0
sart1	0	0	0	0	0	0	0	0	0
sart3	0	0	0	0	0	0	0	0	0
sash1a	0	0	0	0	0	0	0	0	0
sash1b	0	0	0	0	0	0	0	0	0
sash1b_1	10.4589733726271	31.2186835967856	40.3008298624085	17.3771726122186	11.2522970131986	12.8012353500048	15.8388065461412	18.5636447554074	30.5181121278519
sash3	0	0	0	0	0	0	0	0	0
sass6	0	0	0	0	0	0	0	0	0
sat1a.1	0	0	0	0	0	0	0	0	0
sat1a.2	0	0	0	0	0	0	0	0	0
sat1b	0	0	0	0	0	0	0	0	0
sat1b_1	56.9477604561802	15.3400698948028	12.9561404278221	212.456001538066	135.127309766949	166.53018385369	329.100754313091	370.007376490978	75.0578294544701
sat2a	0	0	0	0	0	0	0	0	0
sat2a_1	11.9839174317892	1.48595940615813	6.24213937077002	7.27769678594416	5.75328762241173	1.7643739398937	3.77517772528346	1.65302658940779	0
sat2b	0	0	0	0	0	0	0	0	0
